案件,縣市,鄉鎮市區,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數
第14案,全國,national,,"3,382,286","6,949,697","10,331,983","608,484","10,940,467","19,757,067"
第14案,連江縣,連江縣南竿鄉,南竿鄉,790,"2,397","3,187",101,"3,288","6,461"
第14案,連江縣,連江縣北竿鄉,北竿鄉,247,829,"1,076",34,"1,110","2,125"
第14案,連江縣,連江縣莒光鄉,莒光鄉,185,572,757,27,784,"1,481"
第14案,連江縣,連江縣東引鄉,東引鄉,271,285,556,21,577,"1,138"
第14案,金門縣,金門縣金城鎮,金城鎮,"3,216","9,370","12,586",653,"13,239","37,815"
第14案,金門縣,金門縣金沙鎮,金沙鎮,"1,191","5,049","6,240",336,"6,576","18,560"
第14案,金門縣,金門縣金湖鎮,金湖鎮,"2,121","6,928","9,049",452,"9,501","25,915"
第14案,金門縣,金門縣金寧鄉,金寧鄉,"3,026","6,725","9,751",438,"10,189","28,162"
第14案,金門縣,金門縣烈嶼鄉,烈嶼鄉,823,"3,243","4,066",193,"4,259","11,676"
第14案,金門縣,金門縣烏坵鄉,烏坵鄉,37,124,161,4,165,567
第14案,宜蘭縣,宜蘭縣宜蘭市,宜蘭市,"14,241","28,110","42,351","2,473","44,824","79,167"
第14案,宜蘭縣,宜蘭縣羅東鎮,羅東鎮,"10,777","20,418","31,195","2,004","33,199","57,686"
第14案,宜蘭縣,宜蘭縣蘇澳鎮,蘇澳鎮,"5,786","11,967","17,753","1,621","19,374","34,512"
第14案,宜蘭縣,宜蘭縣頭城鎮,頭城鎮,"4,144","8,579","12,723","1,078","13,801","25,135"
第14案,宜蘭縣,宜蘭縣礁溪鄉,礁溪鄉,"5,114","10,560","15,674","1,128","16,802","31,084"
第14案,宜蘭縣,宜蘭縣壯圍鄉,壯圍鄉,"3,966","7,329","11,295","1,116","12,411","21,447"
第14案,宜蘭縣,宜蘭縣員山鄉,員山鄉,"4,660","9,221","13,881","1,256","15,137","28,131"
第14案,宜蘭縣,宜蘭縣冬山鄉,冬山鄉,"7,599","15,447","23,046","1,445","24,491","45,405"
第14案,宜蘭縣,宜蘭縣五結鄉,五結鄉,"5,805","11,661","17,466","1,252","18,718","34,892"
第14案,宜蘭縣,宜蘭縣三星鄉,三星鄉,"2,905","6,235","9,140",848,"9,988","19,051"
第14案,宜蘭縣,宜蘭縣大同鄉,大同鄉,556,"2,141","2,697",192,"2,889","4,935"
第14案,宜蘭縣,宜蘭縣南澳鄉,南澳鄉,486,"2,151","2,637",175,"2,812","4,644"
第14案,新竹縣,新竹縣竹北市,竹北市,"27,093","49,966","77,059","2,904","79,963","137,129"
第14案,新竹縣,新竹縣竹東鎮,竹東鎮,"12,175","28,462","40,637","1,990","42,627","78,794"
第14案,新竹縣,新竹縣新埔鎮,新埔鎮,"4,323","11,109","15,432",870,"16,302","28,894"
第14案,新竹縣,新竹縣關西鎮,關西鎮,"3,623","9,655","13,278",786,"14,064","24,712"
第14案,新竹縣,新竹縣湖口鄉,湖口鄉,"9,767","24,243","34,010","1,712","35,722","63,511"
第14案,新竹縣,新竹縣新豐鄉,新豐鄉,"7,092","17,354","24,446","1,199","25,645","45,790"
